Дата;Вид;Категория;Подкатегория;Сумма
31.12.2019;Расход;Дом; Ипотека ;₽86 910,69 
31.12.2019;Расход;Машина; Квартплата ;₽1 912,51 
31.12.2019;Расход;Теща; Квартплата ;₽3 000,00 
31.12.2019;Расход;Дом; Квартплата (Тутаев) ;₽2 000,00 
31.12.2019;Расход;Дом; Электричество ;₽1 000,00 
31.12.2019;Расход;Дом; Квартплата ;₽6 000,00 
31.12.2019;Расход;Коммуникации; Интернет ;₽1 400,00 
31.12.2019;Расход;Коммуникации; Телефон ;₽500,00 
31.12.2019;Расход;Коммуникации; Сотовые телефоны ;₽1 700,00 
27.12.2019;Расход;Машина; Топливо ;₽1 500,00 
21.12.2019;Расход;Дом; Ипотека ;₽86 910,69 
20.12.2019;Расход;Машина; Топливо ;₽1 500,00 
20.12.2019;Доход;Зарплата; Я ;₽93 900,00 
19.12.2019;Расход;Теща; Страхование ;₽9 000,00 
15.12.2019;Расход;Машина; Охрана ;₽5 000,00 
15.12.2019;Расход;Коммуникации; Apple Stores ;₽149,00 
13.12.2019;Расход;Машина; Топливо ;₽1 500,00 
12.12.2019;Расход;Коммуникации; Apple Stores ;₽149,00 
11.12.2019;Расход;Коммуникации; Apple Stores ;₽59,00 
10.12.2019;Расход;Другое; Благотворительность ;₽2 000,00 
10.12.2019;Расход;Другое; Вклад ;₽3 000,00 
07.12.2019;Расход;Машина; Квартплата ;₽1 912,51 
07.12.2019;Расход;Теща; Квартплата ;₽3 000,00 
07.12.2019;Расход;Дом; Квартплата (Тутаев) ;₽2 000,00 
07.12.2019;Расход;Дом; Электричество ;₽1 000,00 
07.12.2019;Расход;Дом; Квартплата ;₽6 000,00 
07.12.2019;Расход;Дом; Квартплата (Загородное) ;₽5 000,00 
06.12.2019;Расход;Машина; Топливо ;₽1 500,00 
05.12.2019;Доход;Зарплата; Я ;₽178 410,00 
01.12.2019;Расход;Коммуникации; Apple Stores ;₽269,00 
30.11.2019;Расход;Машина; Страхование ;₽50 000,00 
30.11.2019;Расход;Коммуникации; Интернет ;₽1 400,00 
30.11.2019;Расход;Коммуникации; Телефон ;₽500,00 
30.11.2019;Расход;Коммуникации; Сотовые телефоны ;₽1 700,00 
29.11.2019;Расход;Машина; Топливо ;₽1 500,00 
28.11.2019;Расход;Машина; Налог ;₽10 000,00 
28.11.2019;Расход;Дом; Налог ;₽4 000,00 
22.11.2019;Расход;Машина; Топливо ;₽1 500,00 
21.11.2019;Расход;Дом; Ипотека ;₽86 910,69 
